frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
15128,08:09.000,08:09.028,2,586.0,848.0,754.0,1061.0,2231.0,514.0,2477.0,802.0
15143,08:09.500,08:09.528,2,1664.0,406.0,1854.0,652.0,-79.0,686.0,133.0,935.0
15158,08:10.000,08:10.028,2,1705.0,489.0,1880.0,730.0,-69.0,513.0,158.0,776.0
15173,08:10.500,08:10.530,1,1628.0,616.0,1794.0,841.0,,,,
15188,08:11.000,08:11.030,1,764.0,793.0,919.0,995.0,,,,
15203,08:11.500,08:11.530,1,931.0,811.0,1072.0,1010.0,,,,
15218,08:12.000,08:12.030,1,1133.0,789.0,1281.0,981.0,,,,
15233,08:12.500,08:12.530,1,964.0,639.0,1113.0,838.0,,,,
15248,08:13.000,08:13.022,1,923.0,698.0,1075.0,894.0,,,,
15263,08:13.500,08:13.522,1,856.0,669.0,1010.0,867.0,,,,
15278,08:14.000,08:14.022,1,869.0,663.0,1023.0,867.0,,,,
15293,08:14.500,08:14.523,1,824.0,661.0,971.0,869.0,,,,
15308,08:15.000,08:15.023,1,922.0,575.0,1068.0,781.0,,,,
15323,08:15.500,08:15.523,1,905.0,676.0,1050.0,880.0,,,,
15338,08:16.000,08:16.023,1,1042.0,637.0,1195.0,842.0,,,,
15353,08:16.500,08:16.523,1,1033.0,513.0,1188.0,719.0,,,,
15368,08:17.000,08:17.023,1,977.0,743.0,1131.0,946.0,,,,
15383,08:17.500,08:17.523,1,971.0,599.0,1125.0,802.0,,,,
15398,08:18.000,08:18.023,1,991.0,591.0,1142.0,794.0,,,,
15413,08:18.500,08:18.525,1,984.0,684.0,1135.0,884.0,,,,
15428,08:19.000,08:19.025,1,960.0,526.0,1115.0,735.0,,,,
15443,08:19.500,08:19.525,1,938.0,580.0,1092.0,784.0,,,,
15458,08:20.000,08:20.025,1,880.0,738.0,1036.0,947.0,,,,
15473,08:20.500,08:20.525,1,649.0,842.0,814.0,1058.0,,,,
15488,08:21.000,08:21.025,1,630.0,690.0,801.0,908.0,,,,
15503,08:21.500,08:21.525,1,1580.0,431.0,1750.0,664.0,,,,
15518,08:22.000,08:22.025,2,1694.0,350.0,1876.0,595.0,-92.0,594.0,110.0,857.0
15533,08:22.500,08:22.525,2,1733.0,320.0,1914.0,564.0,-53.0,566.0,181.0,829.0
15548,08:23.000,08:23.027,1,833.0,539.0,989.0,753.0,,,,
15563,08:23.500,08:23.527,1,2089.0,627.0,2307.0,886.0,,,,
15578,08:24.000,08:24.027,0,,,,,,,,
15593,08:24.500,08:24.527,1,982.0,193.0,1144.0,424.0,,,,
15608,08:25.000,08:25.027,2,407.0,465.0,596.0,706.0,2162.0,447.0,2392.0,729.0
15623,08:25.500,08:25.527,2,464.0,808.0,640.0,1024.0,2143.0,765.0,2348.0,1021.0
